Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Path	Begin File	File Offset (s)		KZ Keep? (Y/X/M)	Barks (KZ)	Yelps (KZ)	Overlap (Y/X) (KZ)	Call Type (KZ)	KZ Comment	Bill Check (KZ)
777	Spectrogram 1	1	121025.940500000	121026.832400000	0.000	388.489	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519040705.wav	ST3_Site5_67371018.220519040705.wav	115.7155	764	Y	1	0	Y	G		
778	Spectrogram 1	1	121559.105000000	121559.299800000	949.640	1381.295	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519041705.wav	ST3_Site5_67371018.220519041705.wav	48.8220	765	X	0	1	X	Y		
779	Spectrogram 1	1	121638.155900000	121638.532800000	489.209	949.640	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519041705.wav	ST3_Site5_67371018.220519041705.wav	127.8729	766	X	0	1	X	Y		
780	Spectrogram 1	1	121638.740100000	121639.387000000	683.453	1021.583	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519041705.wav	ST3_Site5_67371018.220519041705.wav	128.4571	767	X	0	1	X	Y		
781	Spectrogram 1	1	121640.128300000	121640.373200000	633.094	1043.165	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519041705.wav	ST3_Site5_67371018.220519041705.wav	129.8453	768	X	0	1	X	Y		
782	Spectrogram 1	1	121796.541400000	121797.000000000	79.137	1827.338	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519041705.wav	ST3_Site5_67371018.220519041705.wav	286.2584	769	Y	1	1	X	BY		
783	Spectrogram 1	1	121797.320300000	121797.577900000	57.554	1539.568	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519041705.wav	ST3_Site5_67371018.220519041705.wav	287.0373	770	Y	1	0	X	B		
784	Spectrogram 1	1	121798.394500000	121798.890700000	35.971	1834.532	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519041705.wav	ST3_Site5_67371018.220519041705.wav	288.1115	771	Y	1	1	X	BY		
785	Spectrogram 1	1	121799.237200000	121799.846400000	388.489	1244.604	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519041705.wav	ST3_Site5_67371018.220519041705.wav	288.9542	772	X	0	1	X	Y		
786	Spectrogram 1	1	121802.352700000	121802.949500000	446.043	2129.496	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519041705.wav	ST3_Site5_67371018.220519041705.wav	292.0697	773	X	0	1	X	Y		
787	Spectrogram 1	1	121810.254700000	121810.455700000	402.878	798.561	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519041705.wav	ST3_Site5_67371018.220519041705.wav	299.9717	774	X	0	1	X	Y		
788	Spectrogram 1	1	121810.763500000	121812.773500000	35.971	1374.101	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519042205.wav	ST3_Site5_67371018.220519042205.wav	0.4368	775	Y	4	2	X	BY	GOOD	
789	Spectrogram 1	1	121813.502200000	121813.860200000	50.360	1992.806	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519042205.wav	ST3_Site5_67371018.220519042205.wav	3.1755	776	Y	1	0	X	B	GOOD	
791	Spectrogram 1	1	122069.345000000	122069.973200000	863.309	1244.604	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519042205.wav	ST3_Site5_67371018.220519042205.wav	259.0183	777	X	0	1	X	Y		
792	Spectrogram 1	1	122074.093800000	122074.451800000	820.144	1100.719	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519042205.wav	ST3_Site5_67371018.220519042205.wav	263.7671	778	X	0	1	X	Y		
793	Spectrogram 1	1	122165.603400000	122166.162500000	446.043	2208.633	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519042705.wav	ST3_Site5_67371018.220519042705.wav	55.2696	779	X	0	2	X	Y		
794	Spectrogram 1	1	122496.904100000	122497.230700000	1079.137	1395.683	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519043205.wav	ST3_Site5_67371018.220519043205.wav	86.5461	780	X	0	1	X	Y		
795	Spectrogram 1	1	122556.340300000	122556.679400000	949.640	2143.885	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519043205.wav	ST3_Site5_67371018.220519043205.wav	145.9823	781	X	0	1	X	Y		
796	Spectrogram 1	1	122932.125400000	122932.527400000	956.835	2086.331	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519043705.wav	ST3_Site5_67371018.220519043705.wav	221.7674	782	X	0	1	X	Y		
797	Spectrogram 1	1	123039.357400000	123039.658900000	798.561	1223.022	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519044205.wav	ST3_Site5_67371018.220519044205.wav	28.9347	783	X	0	1	X	Y		
798	Spectrogram 1	1	123040.111200000	123040.425300000	798.561	1187.050	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519044205.wav	ST3_Site5_67371018.220519044205.wav	29.6885	784	X	0	1	X	Y		
799	Spectrogram 1	1	123223.386700000	123223.908100000	820.144	1345.324	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519044205.wav	ST3_Site5_67371018.220519044205.wav	212.9640	785	X	0	1	X	Y		
800	Spectrogram 1	1	123322.318300000	123322.896200000	71.942	633.094	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519044705.wav	ST3_Site5_67371018.220519044705.wav	11.9155	786	Y	2	0	X	B		
801	Spectrogram 1	1	123577.130200000	123577.356300000	892.086	1273.381	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519044705.wav	ST3_Site5_67371018.220519044705.wav	266.7274	787	X	0	1	X	Y		
802	Spectrogram 1	1	123578.260900000	123578.518400000	1086.331	1438.849	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519044705.wav	ST3_Site5_67371018.220519044705.wav	267.8581	788	X	0	1	X	Y		
803	Spectrogram 1	1	123579.265900000	123579.454300000	1043.165	1280.576	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519044705.wav	ST3_Site5_67371018.220519044705.wav	268.8631	789	X	0	1	X	Y		
804	Spectrogram 1	1	123580.252100000	123580.509600000	1064.748	1294.964	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519044705.wav	ST3_Site5_67371018.220519044705.wav	269.8493	790	X	0	1	X	Y		
805	Spectrogram 1	1	123582.808600000	123583.091300000	1007.194	1302.158	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519044705.wav	ST3_Site5_67371018.220519044705.wav	272.4058	791	X	0	1	X	Y		
806	Spectrogram 1	1	123604.478500000	123604.723400000	1100.719	1381.295	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519044705.wav	ST3_Site5_67371018.220519044705.wav	294.0757	792	X	0	1	X	Y		
807	Spectrogram 1	1	123615.437700000	123615.707800000	1000.000	1338.129	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519045205.wav	ST3_Site5_67371018.220519045205.wav	4.9622	793	X	0	1	X	Y		
808	Spectrogram 1	1	123636.528200000	123636.722900000	1100.719	1438.849	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519045205.wav	ST3_Site5_67371018.220519045205.wav	26.0527	794	X	0	1	X	Y		
809	Spectrogram 1	1	123638.010600000	123638.261800000	1057.554	1287.770	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519045205.wav	ST3_Site5_67371018.220519045205.wav	27.5351	795	X	0	1	X	Y		
810	Spectrogram 1	1	123638.808300000	123639.053300000	1057.554	1424.460	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519045205.wav	ST3_Site5_67371018.220519045205.wav	28.3328	796	X	0	1	X	Y		
811	Spectrogram 1	1	123639.687700000	123639.888700000	1014.388	1266.187	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519045205.wav	ST3_Site5_67371018.220519045205.wav	29.2122	797	X	0	1	X	Y		
812	Spectrogram 1	1	123640.372400000	123640.604800000	1136.691	1374.101	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519045205.wav	ST3_Site5_67371018.220519045205.wav	29.8969	798	X	0	1	X	Y		
813	Spectrogram 1	1	123641.157600000	123641.471600000	1107.914	1453.237	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519045205.wav	ST3_Site5_67371018.220519045205.wav	30.6821	799	X	0	1	X	Y		
815	Spectrogram 1	1	123641.980400000	123642.275600000	971.223	1302.158	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519045205.wav	ST3_Site5_67371018.220519045205.wav	31.5049	800	X	0	1	X	Y		
816	Spectrogram 1	1	123678.039000000	123678.736300000	1014.388	1431.655	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519045205.wav	ST3_Site5_67371018.220519045205.wav	67.5635	801	X	0	1	X	Y		
817	Spectrogram 1	1	123699.195500000	123699.754500000	748.201	1532.374	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519045205.wav	ST3_Site5_67371018.220519045205.wav	88.7200	802	X	0	1	X	Y		
818	Spectrogram 1	1	123700.483200000	123700.960600000	784.173	1215.827	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519045205.wav	ST3_Site5_67371018.220519045205.wav	90.0077	803	X	0	1	X	Y		
819	Spectrogram 1	1	123707.679200000	123708.005800000	985.612	1460.432	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519045205.wav	ST3_Site5_67371018.220519045205.wav	97.2037	804	X	0	1	X	Y		
820	Spectrogram 1	1	123708.966900000	123709.362600000	884.892	1172.662	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519045205.wav	ST3_Site5_67371018.220519045205.wav	98.4914	805	X	0	1	X	Y		
821	Spectrogram 1	1	123710.172900000	123710.474400000	784.173	1352.518	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519045205.wav	ST3_Site5_67371018.220519045205.wav	99.6974	806	X	0	1	X	Y		
822	Spectrogram 1	1	123711.121400000	123711.460600000	712.230	1395.683	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519045205.wav	ST3_Site5_67371018.220519045205.wav	100.6459	807	X	0	1	X	Y		
823	Spectrogram 1	1	123712.905300000	123713.125200000	769.784	1165.468	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519045205.wav	ST3_Site5_67371018.220519045205.wav	102.4298	808	X	0	1	X	Y		
824	Spectrogram 1	1	123713.922900000	123714.262100000	697.842	1071.942	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519045205.wav	ST3_Site5_67371018.220519045205.wav	103.4474	809	X	0	1	X	Y		
825	Spectrogram 1	1	123932.457600000	123932.639800000	57.554	510.791	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519045705.wav	ST3_Site5_67371018.220519045705.wav	21.9826	810	Y	1	0	X	B	FAINT	
826	Spectrogram 1	1	123934.926200000	123935.127200000	14.388	489.209	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519045705.wav	ST3_Site5_67371018.220519045705.wav	24.4512	811	Y	1	0	X	B	FAINT	
827	Spectrogram 1	1	123933.701300000	123933.877200000	1071.942	1453.237	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519045705.wav	ST3_Site5_67371018.220519045705.wav	23.2263	812	X	0	1	X	Y		
828	Spectrogram 1	1	124109.492500000	124109.806600000	525.180	834.532	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519045705.wav	ST3_Site5_67371018.220519045705.wav	199.0175	813	X	0	1	X	Y		
829	Spectrogram 1	1	124122.788300000	124123.805900000	71.942	395.683	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519045705.wav	ST3_Site5_67371018.220519045705.wav	212.3133	814	Y	1	0	X	G		
830	Spectrogram 1	1	124178.825500000	124179.051600000	57.554	568.345	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519045705.wav	ST3_Site5_67371018.220519045705.wav	268.3505	815	Y	1	0	X	B		
831	Spectrogram 1	1	124180.603100000	124180.797800000	870.504	1287.770	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519045705.wav	ST3_Site5_67371018.220519045705.wav	270.1281	816	X	0	1	X	Y		
832	Spectrogram 1	1	124179.064100000	124180.578000000	86.331	1633.094	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519045705.wav	ST3_Site5_67371018.220519045705.wav	268.5891	817	X	5	4	X	BY	TOO FAINT	
833	Spectrogram 1	1	124181.005100000	124182.148300000	14.388	489.209	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519045705.wav	ST3_Site5_67371018.220519045705.wav	270.5301	818	Y	4	0	X	B	FAINT	
834	Spectrogram 1	1	124182.732500000	124183.429700000	79.137	1366.906	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519045705.wav	ST3_Site5_67371018.220519045705.wav	272.2575	819	Y	2	1	X	BY		
835	Spectrogram 1	1	124502.252500000	124502.528900000	79.137	546.763	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519050205.wav	ST3_Site5_67371018.220519050205.wav	291.7568	820	Y	1	0	X	B		
836	Spectrogram 1	1	124809.986800000	124810.351200000	784.173	1920.863	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519050705.wav	ST3_Site5_67371018.220519050705.wav	299.5025	821	X	0	1	X	Y		
837	Spectrogram 1	1	124927.731900000	124930.583700000	57.554	431.655	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519051205.wav	ST3_Site5_67371018.220519051205.wav	117.2047	822	Y	1	0	X	G		
838	Spectrogram 1	1	125042.432900000	125042.759600000	1057.554	2057.554	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519051205.wav	ST3_Site5_67371018.220519051205.wav	231.9057	823	X	0	1	X	Y		
839	Spectrogram 1	1	125042.960600000	125043.224400000	1208.633	1467.626	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519051205.wav	ST3_Site5_67371018.220519051205.wav	232.4334	824	X	0	1	X	Y		
840	Spectrogram 1	1	125044.763300000	125045.027200000	1093.525	1805.755	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519051205.wav	ST3_Site5_67371018.220519051205.wav	234.2361	825	X	0	1	X	Y		
841	Spectrogram 1	1	125174.732600000	125175.140900000	0.000	1453.237	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519051705.wav	ST3_Site5_67371018.220519051705.wav	64.1378	826	Y	1	1	X	BY		
842	Spectrogram 1	1	125602.905100000	125605.329800000	0.000	438.849	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519052205.wav	ST3_Site5_67371018.220519052205.wav	192.3378	827	Y	1	0	X	G		
843	Spectrogram 1	1	125889.722800000	125889.992900000	848.921	1374.101	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519052705.wav	ST3_Site5_67371018.220519052705.wav	179.1070	828	X	0	1	X	Y		
844	Spectrogram 1	1	125890.853400000	125890.979100000	28.777	546.763	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519052705.wav	ST3_Site5_67371018.220519052705.wav	180.2376	829	Y	1	0	X	B		
845	Spectrogram 1	1	125891.412500000	125891.714000000	776.978	1028.777	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519052705.wav	ST3_Site5_67371018.220519052705.wav	180.7967	830	X	0	1	X	Y		
846	Spectrogram 1	1	125891.852200000	125892.574500000	35.971	1079.137	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519052705.wav	ST3_Site5_67371018.220519052705.wav	181.2364	831	Y	2	0	X	B		
847	Spectrogram 1	1	125892.809700000	125893.029500000	769.784	1064.748	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519052705.wav	ST3_Site5_67371018.220519052705.wav	182.1939	832	X	0	1	X	Y		
848	Spectrogram 1	1	125893.770700000	125894.040800000	100.719	1870.504	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519052705.wav	ST3_Site5_67371018.220519052705.wav	183.1549	833	Y	1	0	X	B		
849	Spectrogram 1	1	125894.549600000	125894.775800000	0.000	1165.468	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519052705.wav	ST3_Site5_67371018.220519052705.wav	183.9338	834	Y	1	0	X	B		
850	Spectrogram 1	1	125977.600100000	125978.291000000	410.072	2208.633	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519052705.wav	ST3_Site5_67371018.220519052705.wav	266.9843	835	X	0	1	X	Y		
851	Spectrogram 1	1	126088.916900000	126089.262400000	892.086	1230.216	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519053205.wav	ST3_Site5_67371018.220519053205.wav	78.2599	836	X	0	1	X	Y		
852	Spectrogram 1	1	126357.531100000	126357.769800000	1035.971	1258.993	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519053706.wav	ST3_Site5_67371018.220519053706.wav	46.8619	837	X	0	1	X	Y		
853	Spectrogram 1	1	126843.189100000	126843.390100000	985.612	1330.935	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519054206.wav	ST3_Site5_67371018.220519054206.wav	232.4819	838	X	0	1	X	Y		
854	Spectrogram 1	1	126828.643500000	126828.919900000	35.971	546.763	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519054206.wav	ST3_Site5_67371018.220519054206.wav	217.9363	839	Y	1	0	X	B		
855	Spectrogram 1	1	126829.089500000	126829.353300000	35.971	1424.460	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519054206.wav	ST3_Site5_67371018.220519054206.wav	218.3823	840	Y	1	0	X	B		
856	Spectrogram 1	1	126979.478800000	126980.823000000	35.971	388.489	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519054706.wav	ST3_Site5_67371018.220519054706.wav	68.8053	841	Y	1	0	X	G		
857	Spectrogram 1	1	126982.130200000	126982.463100000	50.360	1136.691	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519054706.wav	ST3_Site5_67371018.220519054706.wav	71.4567	842	Y	1	0	X	B		
858	Spectrogram 1	1	127235.843900000	127236.497200000	820.144	1517.986	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519055206.wav	ST3_Site5_67371018.220519055206.wav	25.1486	843	X	0	1	X	Y		
859	Spectrogram 1	1	127240.460800000	127240.862800000	892.086	1359.712	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519055206.wav	ST3_Site5_67371018.220519055206.wav	29.7655	844	X	0	1	X	Y		
860	Spectrogram 1	1	127241.640600000	127242.155700000	820.144	1726.619	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519055206.wav	ST3_Site5_67371018.220519055206.wav	30.9453	845	X	0	1	X	Y		
861	Spectrogram 1	1	127242.658200000	127243.066500000	762.590	1410.072	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519055206.wav	ST3_Site5_67371018.220519055206.wav	31.9629	846	X	0	1	X	Y		
862	Spectrogram 1	1	127243.700900000	127244.046400000	705.036	1179.856	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519055206.wav	ST3_Site5_67371018.220519055206.wav	33.0056	847	X	0	1	X	Y		
863	Spectrogram 1	1	127244.655700000	127244.994900000	633.094	985.612	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519055206.wav	ST3_Site5_67371018.220519055206.wav	33.9604	848	X	0	1	X	Y		
864	Spectrogram 1	1	127246.617500000	127248.169000000	7.194	431.655	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519055206.wav	ST3_Site5_67371018.220519055206.wav	35.9222	849	Y	1	0	X	G		
865	Spectrogram 1	1	127248.294600000	127248.495600000	755.396	1129.496	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519055206.wav	ST3_Site5_67371018.220519055206.wav	37.5993	850	X	0	1	X	Y		
866	Spectrogram 1	1	127249.067200000	127249.280800000	611.511	971.223	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519055206.wav	ST3_Site5_67371018.220519055206.wav	38.3719	851	X	0	1	X	Y		
867	Spectrogram 1	1	127748.243300000	127748.525900000	705.036	1258.993	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519055706.wav	ST3_Site5_67371018.220519055706.wav	237.4858	852	X	0	1	X	Y		
868	Spectrogram 1	1	127756.162500000	127759.001700000	21.583	446.043	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519055706.wav	ST3_Site5_67371018.220519055706.wav	245.4050	853	Y	1	0	X	G		
869	Spectrogram 1	1	127769.967200000	127770.419500000	647.482	1244.604	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519055706.wav	ST3_Site5_67371018.220519055706.wav	259.2097	854	X	0	1	X	Y		
870	Spectrogram 1	1	127771.066500000	127771.355400000	776.978	1201.439	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519055706.wav	ST3_Site5_67371018.220519055706.wav	260.3090	855	X	0	1	X	Y		
871	Spectrogram 1	1	127773.177000000	127773.654400000	805.755	1151.079	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519055706.wav	ST3_Site5_67371018.220519055706.wav	262.4195	856	X	0	1	X	Y		
872	Spectrogram 1	1	127775.692300000	127776.333000000	625.899	2165.468	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519055706.wav	ST3_Site5_67371018.220519055706.wav	264.9348	857	X	0	1	X	Y		
873	Spectrogram 1	1	127779.197300000	127780.290200000	741.007	2294.964	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519055706.wav	ST3_Site5_67371018.220519055706.wav	268.4398	858	X	0	1	X	Y		
874	Spectrogram 1	1	127781.802200000	127782.185400000	71.942	1870.504	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519055706.wav	ST3_Site5_67371018.220519055706.wav	271.0447	859	Y	1	0	X	B		
875	Spectrogram 1	1	127804.214200000	127805.081000000	71.942	330.935	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519055706.wav	ST3_Site5_67371018.220519055706.wav	293.4567	860	Y	1	0	X	G		
876	Spectrogram 1	1	127966.783700000	127967.845200000	0.000	489.209	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519060206.wav	ST3_Site5_67371018.220519060206.wav	155.9704	861	Y	1	0	X	G		
877	Spectrogram 1	1	128009.714300000	128009.990700000	964.029	1323.741	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519060206.wav	ST3_Site5_67371018.220519060206.wav	198.9010	862	X	0	1	X	Y		
878	Spectrogram 1	1	128077.752800000	128078.211300000	690.647	1172.662	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519060206.wav	ST3_Site5_67371018.220519060206.wav	266.9395	863	X	0	1	X	Y		
879	Spectrogram 1	1	128080.434900000	128081.006500000	625.899	1187.050	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519060206.wav	ST3_Site5_67371018.220519060206.wav	269.6216	864	X	0	1	X	Y		
880	Spectrogram 1	1	128082.545500000	128082.953800000	733.813	1050.360	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519060206.wav	ST3_Site5_67371018.220519060206.wav	271.7322	865	X	0	1	X	Y		
881	Spectrogram 1	1	128086.484500000	128086.943000000	719.424	1517.986	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519060206.wav	ST3_Site5_67371018.220519060206.wav	275.6712	866	X	0	1	X	Y		
882	Spectrogram 1	1	128091.989100000	128092.334600000	669.065	1330.935	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519060206.wav	ST3_Site5_67371018.220519060206.wav	281.1758	867	X	0	1	X	Y		
883	Spectrogram 1	1	128173.552100000	128173.972900000	575.540	1165.468	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519060706.wav	ST3_Site5_67371018.220519060706.wav	62.7588	868	X	0	1	X	Y		
884	Spectrogram 1	1	128346.756600000	128348.207600000	43.165	424.460	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519060706.wav	ST3_Site5_67371018.220519060706.wav	235.9633	869	Y	1	0	X	G		
885	Spectrogram 1	1	128349.250300000	128349.514100000	14.388	1345.324	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519060706.wav	ST3_Site5_67371018.220519060706.wav	238.4570	870	Y	1	0	X	B		
886	Spectrogram 1	1	128348.634700000	128349.231400000	35.971	395.683	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519060706.wav	ST3_Site5_67371018.220519060706.wav	237.8414	871	Y	1	0	X	G		
887	Spectrogram 1	1	128350.004000000	128350.211300000	568.345	1287.770	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519060706.wav	ST3_Site5_67371018.220519060706.wav	239.2107	872	X	0	1	X	Y		
888	Spectrogram 1	1	128349.570600000	128349.953800000	21.583	294.964	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519060706.wav	ST3_Site5_67371018.220519060706.wav	238.7773	873	Y	1	0	X	G		
889	Spectrogram 1	1	128418.828300000	128419.085800000	100.719	899.281	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519061206.wav	ST3_Site5_67371018.220519061206.wav	8.0238	874	Y	1	0	X	B		
890	Spectrogram 1	1	128419.588300000	128419.858400000	14.388	1194.245	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519061206.wav	ST3_Site5_67371018.220519061206.wav	8.7838	875	Y	1	0	X	B		
891	Spectrogram 1	1	128503.505600000	128503.913900000	589.928	1338.129	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519061206.wav	ST3_Site5_67371018.220519061206.wav	92.7011	876	X	0	1	X	Y		
892	Spectrogram 1	1	128504.674000000	128505.547100000	410.072	1330.935	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519061206.wav	ST3_Site5_67371018.220519061206.wav	93.8695	877	X	0	3	X	Y		
893	Spectrogram 1	1	128510.967600000	128511.250200000	669.065	1215.827	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519061206.wav	ST3_Site5_67371018.220519061206.wav	100.1631	878	X	0	1	X	Y		
894	Spectrogram 1	1	128511.514000000	128511.790400000	489.209	1151.079	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519061206.wav	ST3_Site5_67371018.220519061206.wav	100.7095	879	X	0	1	X	Y		
895	Spectrogram 1	1	128512.318100000	128512.745200000	244.604	1402.878	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519061206.wav	ST3_Site5_67371018.220519061206.wav	101.5136	880	X	0	2	X	Y		
896	Spectrogram 1	1	128618.102800000	128619.736000000	14.388	489.209	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519061206.wav	ST3_Site5_67371018.220519061206.wav	207.2983	881	Y	1	0	X	G		
897	Spectrogram 1	1	128821.950000000	128822.408500000	870.504	1302.158	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519061706.wav	ST3_Site5_67371018.220519061706.wav	111.1055	882	X	0	1	X	Y		
898	Spectrogram 1	1	128823.727600000	128824.004000000	28.777	633.094	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220519061706.wav	ST3_Site5_67371018.220519061706.wav	112.8831	883	Y	1	0	X	B		
